Departamento,Municipio,IPS,NIT,Gerente,Caracter,Habilitada,Nivel,Direccion,Telefono,Email,Encargado,Email Encargado,Cargo Encargado
Amazonas,LETICIA,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,JAIME YOANI GALLEGO TEJADA,DEPARTAMENTAL,SI,2,Carrera 10 NO. 13-78 Leticia (Amazonas),3203048903 - 3204650596,gerencia@esehospitalsanrafael-leticia-amazonas.gov.co,,,
Amazonas,LETICIA,IPS INDÍGENA MALLAMAS,837000084,FABIO EDMUNDO ENRIQUEZ MIRANDA,NACIONAL,SI,1,CRA 9 No. 9-67,5925324,leticiacontacto@ipsmallamas,,,
Amazonas,LETICIA,SANIDAD AEROPORTUARIA LETICIA,899999059,GUSTAVO ALBERTO LENIS STEFFENS,MUNICIPAL,SI,1,AEROPUERTO V. COBO,5927192,,,,
Antioquia,ABEJORRAL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,890980643,JAVIER ANTONIO CASTRILLON MENDOZA,MUNICIPAL,SI,1,CL Circular X Kr Calibio,8647181,abejhs01@edatel.net.co,,,
Antioquia,ALEJANDRÍA,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,800029509,OSCAR DARÍO RESTREPO BRAVO,MUNICIPAL,SI,1,KR 19 # 16 - 70,8660077,hospitalalejandria@gmail.com,,,
Antioquia,AMAGÁ,ESE HOSPITAL SAN FERNANDO,890906346,CLAUDIA PATRICIA MARIN ALZATE,MUNICIPAL,SI,1,Cra 51 No 52 81,8472926,esehospitalamaga@hotmail.com,,,
Antioquia,AMALFI,E.S.E HOSPITAL EL CARMEN,890982101,MARTHA CECILIA DE FATIMA LONDOÑO GAVIRIA,MUNICIPAL,SI,1,CL 23 # 23 - 40,5748300353,hospitalamalfi@gmail.com,,,
Antioquia,ANDES,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890980814,CARLOS ALBERTO ARROYAVE ZULUAGA,MUNICIPAL,SI,1,AV MEDELLIN NRO. 48-20,5748414343,esehsrgerencia@gmail.com,,,
Antioquia,ANGELÓPOLIS,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,890980959,JOSÉ DOMINGO JULIO PRETELT,MUNICIPAL,SI,1,CL 8 # 7-108,5748421146,eseangel@edatel.net.co,,,
Antioquia,ANGOSTURA,ESE HOSPITAL SAN RAFAEL,890982183,JAVIER ENRIQUE ARTEAGA JIMENEZ,MUNICIPAL,SI,1,KRA10 # 16 - 1,"5748645099, 8645319",angohs01@edatel.net.co,,,
Antioquia,ANORÍ,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,890982138,HUGO ALEXANDER MANCO GUZMAN,MUNICIPAL,SI,1,CL ZEA,5748350803,anorhs01@edatel.net.co,,,
Antioquia,ANZA,ESE HOSPITAL SAN FRANCISCO DE ASIS,890397282,LUIS CARLOS VILLADA GOMEZ,MUNICIPAL,SI,1,KR 8 # 7-29,8522029,hospitalanza@hospitalanza.gov.co,,,
