CÓDIGO,NOMBRE,NIT,RAZÓN SOCIAL,NIVEL DE ATENCIÓN,GERENTE,DIRECCION,BARRIO,MUNICIPIO,DEPARTAMENTO,TELEFONO,E-MAIL EMPRESARIAL,E-MAIL 2 EMPRESARIAL,NOMBRE DEL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,TELEFONO REPRESENTANTE LEGAL,NOMBRE PERSONA ENCARGADA DE TECNOLOGIA,EMAIL PERSONA ENCARGADA DE TECNOLOGIA,TELEFONO PERSONA ENCARGADA DE TECNOLOGIA
2575400380,E.S.E. HOSPITAL MARIO GAITAN YANGUAS DE SOACHA,800006850,E.S.E. HOSPITAL MARIO GAITAN YANGUAS DE SOACHA,1,Fernando Anibal Peña Diaz,CALLE 13 # 10-48,EUGENIO DIAZ CASTRO,SOACHA,CUNDINAMARCA,7309230,hsoacha@cundinamarca.gov.co,,LUIS EFRAIN FERNANDEZ OTALORA,gerencia@hmgy.gov.co,,7309230 EXT 2001,FERNANDO RODRIGUEZ,planeacionymercadeo@hmgy.gov.co,7309230 EXT 2020
566404481,ESE HOSPITAL SANTA ISABEL,800014405,ESE HOSPITAL SANTA ISABEL,1,HARLYN DARIO DAVID URREGO,CALLE 43 A # 52A-109,GUAMURU,SAN PEDRO,ANTIOQUIA,8687610,hospital@esesantaisabel.gov.co,,OSCAR HERNAN OCAMPO VALENCIA,hospital@esesantaisabel.gov.co,,8687610,RAFAEL ARIAS,sistemas@ssantaisabel.gov.com,8687610
589303227,ESE HOSPITAL HÉCTOR ABAD GÓMEZ,800014884,ESE Hospital Héctor Abad Gómez,1,ALVARO RIVERA ROJAS,CARRERA 58 # 46-226,JOSE DOMINGO OLIVEROS,YONDÓ,ANTIOQUIA,8325050-8325051,esehectorabadgomez@hospitalyondo.gov.co,,CESAR AUGUSTO PARDO ROSAS,cpardorosas@gmail.com,,3108290215,PEDRO FLOREZ,sistemas@hospitlayondo.gov.co,3134868634
7302401044,E.S.E. HOSPITAL SAN ISIDRO,800025221,E.S.E. HOSPITAL SAN ISIDRO,1,HENRRY ANTONIO COBO BRITO,CARRERA 5 # 5-43,CENTRO,ALPUJARRA,TOLIMA,2261172-3212011134,esesanisidroalpujarra@hotmail.com,,ALFONSO CRUZ ACOSTA,esesanisidroalpujarra@hotmail.com,,2261172,ALFONSO CRUZ ACOSTA,esesanisidroalpujarra@hotmail.com,2261172
502105098,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,1,EDUARDO RIVERA ARCILA,CARRERA 19 # 16-70,,ALEJANDRÍA,ANTIOQUIA,8660077,hospitalalejandria@gmail.com,,OSCAR DARIO RESTREPO BRAVO ,hospitalalejandria@gmail.com,,8660077,OSCAR DARIO RESTREPO BRAVO ,hospitalalejandria@gmail.com,8660077
5031300522,HOSPITAL DEPARTAMENTAL DE GRANADA - EMPRESA SOCIAL DEL META,800037021,Hospital Departamental de Granada - Empresa Social del Meta,2,JESUS EMILIO ROSADO SARABIA,CALLE 15 ENTRE 2 y 4,VILLA OLIMPICA,GRANADA,META,6587800,gerencia@hospitalgranada.gov.co,,MONICA MARIA DELGADO,gerencia@hospitalgranada.gov.co,,6587800,FERNANDO BARRETO,ingsistemas@hospitalgranada.gov.co,6587800 EXT 138
5031800018,HOSPITAL LOCAL DE GUAMAL PRIMER NIVEL E.S.E.,800037202,HOSPITAL PRIMER NIVEL DE GUAMAL,1,OSCAR ALBERTO SANCHEZ MUÑOZ,CARRERA 7 # 14 28 ,LOS FUNDADORES,GUAMAL,META,6755038-6755767,GERENCIA@HOSPITALGUAMAL.GOV.CO,,JAIRO ANDRES MUÑOZ VISCAINO ,GERENCIA@HOSPITALGUAMAL.GOV.CO,,3138147214,DEIVI PARDO ,SOPORTE@HOSPITALGUAMAL.GOV.CO,3214399570
512508313,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,800037244,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,1,CARDONA ORTIZ ELKIN DE JESUS,CARRERA 5 # 3-23,ZONA URBANA,CAICEDO,ANTIOQUIA,8572123,,,CARLOS ANDRES LONDOÑO VELEZ,gerencia@hospitalcaicedo.gov.co,,8572123 EXT 120,ANDRES JHOAN GUTIERREZ,gerencia@hospitalcaicedo.gov.co,8572123 EXT11
5057300003,HOSPITAL LOCAL DE PUERTO LOPEZ ESE,800037979,E.S.E. HOSPITAL LOCAL DE PUERTO LOPEZ,1,FERNANDO MEDINA GRANADOS,CALLE 8 No. 6-50 ,BARRIO GAITAN PUERTO LÓPEZ META,PUERTO LÓPEZ,META,6450955,gerente@esehospitalocal-puertolopez-meta.gov.co,,ALVARO HERNANDO PINILLA LEON,gerente@esehospitalocal-puertolopez-meta.gov.co,,6450955,RANDY FRANCISCO ORTIZ DIAZ,gerente@esehospitalocal-puertolopez-meta.gov.co,6450955
6865500734,E.S.E. HOSPITAL INTEGRADO SABANA DE TORRES,800064543,E.S.E. HOSPITAL INTEGRADO SABANA DE TORRES,1,BALKIS YAMILE GORDILLO MORENO,CALLE 14 # 9-50,CARVAJAL,SABANA DE TORRES,SANTANDER,6293347-6293346,HOSPITALST@HOTMAIL.COM,,YENNY CAROLINA GALVAN PLATA,HOSPITALST@HOTMAIL.COM,,6293346,ARIEL ALFONSO ANGARITA LEON,AAAL79@HOTMAIL.COM,3175038688
